date,station,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
1999-07-09T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,87.0,50.0,87.0
1999-07-10T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,93.0,50.0,93.0
1999-07-11T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,104.0,56.0,104.0
1999-07-12T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,106.0,66.0,105.0
1999-07-13T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,92.0,64.0,91.0
1999-07-14T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,85.0,56.0,85.0
1999-07-15T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,88.0,53.0,82.0
1999-07-16T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,78.0,52.0,78.0
1999-07-17T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,80.0,50.0,79.0
1999-07-18T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,78.0,48.0,76.0
1999-07-19T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,73.0,53.0,71.0
1999-07-20T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,73.0,52.0,72.0
1999-07-21T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,81.0,57.0,80.0
1999-07-22T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,84.0,50.0,82.0
1999-07-23T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,83.0,53.0,71.0
1999-07-24T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,82.0,53.0,81.0
1999-07-25T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,80.0,50.0,79.0
1999-07-26T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,79.0,50.0,77.0
1999-07-27T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,76.0,52.0,75.0
1999-07-28T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,78.0,54.0,76.0
1999-07-29T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,83.0,51.0,80.0
1999-07-30T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,85.0,48.0,85.0
1999-07-31T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,76.0,47.0,74.0
1999-08-01T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,83.0,48.0,81.0
1999-08-02T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,85.0,51.0,82.0
1999-08-03T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,87.0,53.0,86.0
1999-08-04T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,81.0,53.0,81.0
1999-08-05T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,75.0,53.0,73.0
1999-08-06T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,75.0,57.0,72.0
1999-08-07T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,78.0,56.0,76.0
